DateRep;Country;Cases_cumsum
10/1/20;Acomayo;312
10/1/20;Anta;1706
10/1/20;Calca;1016
10/1/20;Canas;266
10/1/20;Canchis;2489
10/1/20;Chumbivilcas;679
10/1/20;Cusco;41056
10/1/20;Espinar;1324
10/1/20;La Convencion;5678
10/1/20;Paruro;291
10/1/20;Paucartambo;374
10/1/20;Quispicanchi;2241
10/1/20;Urubamba;1444
10/10/20;Acomayo;366
10/10/20;Anta;1782
10/10/20;Calca;1086
10/10/20;Canas;283
10/10/20;Canchis;3037
10/10/20;Chumbivilcas;784
10/10/20;Cusco;42412
10/10/20;Espinar;1506
10/10/20;La Convencion;5918
10/10/20;Paruro;409
10/10/20;Paucartambo;387
10/10/20;Quispicanchi;2315
10/10/20;Urubamba;1553
10/11/20;Acomayo;368
10/11/20;Anta;1784
10/11/20;Calca;1086
10/11/20;Canas;286
10/11/20;Canchis;3038
10/11/20;Chumbivilcas;786
10/11/20;Cusco;42428
10/11/20;Espinar;1512
10/11/20;La Convencion;5926
10/11/20;Paruro;410
10/11/20;Paucartambo;389
10/11/20;Quispicanchi;2317
10/11/20;Urubamba;1563
10/12/20;Acomayo;368
10/12/20;Anta;1792
10/12/20;Calca;1088
10/12/20;Canas;288
10/12/20;Canchis;3065
10/12/20;Chumbivilcas;786
10/12/20;Cusco;43144
10/12/20;Espinar;1575
10/12/20;La Convencion;5962
10/12/20;Paruro;420
10/12/20;Paucartambo;390
10/12/20;Quispicanchi;2322
10/12/20;Urubamba;1593
10/13/20;Acomayo;371
10/13/20;Anta;1795
10/13/20;Calca;1093
10/13/20;Canas;290
10/13/20;Canchis;3116
10/13/20;Chumbivilcas;789
10/13/20;Cusco;43526
10/13/20;Espinar;1624
10/13/20;La Convencion;6003
10/13/20;Paruro;422
10/13/20;Paucartambo;393
10/13/20;Quispicanchi;2328
10/13/20;Urubamba;1601
10/14/20;Acomayo;374
10/14/20;Anta;1802
10/14/20;Calca;1101
10/14/20;Canas;291
10/14/20;Canchis;3142
10/14/20;Chumbivilcas;792
10/14/20;Cusco;43719
10/14/20;Espinar;1691
10/14/20;La Convencion;6029
10/14/20;Paruro;426
10/14/20;Paucartambo;395
10/14/20;Quispicanchi;2336
10/14/20;Urubamba;1633
10/15/20;Acomayo;379
10/15/20;Anta;1806
10/15/20;Calca;1102
10/15/20;Canas;295
10/15/20;Canchis;3155
10/15/20;Chumbivilcas;795
10/15/20;Cusco;43895
10/15/20;Espinar;1742
10/15/20;La Convencion;6045
10/15/20;Paruro;427
10/15/20;Paucartambo;396
10/15/20;Quispicanchi;2341
10/15/20;Urubamba;1690
10/16/20;Acomayo;381
10/16/20;Anta;1810
10/16/20;Calca;1106
10/16/20;Canas;299
10/16/20;Canchis;3174
10/16/20;Chumbivilcas;799
10/16/20;Cusco;44060
10/16/20;Espinar;1788
10/16/20;La Convencion;6072
10/16/20;Paruro;429
10/16/20;Paucartambo;397
10/16/20;Quispicanchi;2346
10/16/20;Urubamba;1713
10/17/20;Acomayo;383
10/17/20;Anta;1813
10/17/20;Calca;1106
10/17/20;Canas;302
10/17/20;Canchis;3184
10/17/20;Chumbivilcas;801
10/17/20;Cusco;44112
10/17/20;Espinar;1814
10/17/20;La Convencion;6102
10/17/20;Paruro;430
10/17/20;Paucartambo;398
10/17/20;Quispicanchi;2353
10/17/20;Urubamba;1717
10/18/20;Acomayo;384
10/18/20;Anta;1813
10/18/20;Calca;1106
10/18/20;Canas;304
10/18/20;Canchis;3187
10/18/20;Chumbivilcas;802
10/18/20;Cusco;44128
10/18/20;Espinar;1827
10/18/20;La Convencion;6115
10/18/20;Paruro;430
10/18/20;Paucartambo;399
10/18/20;Quispicanchi;2353
10/18/20;Urubamba;1717
10/19/20;Acomayo;386
10/19/20;Anta;1816
10/19/20;Calca;1114
10/19/20;Canas;305
10/19/20;Canchis;3207
10/19/20;Chumbivilcas;806
10/19/20;Cusco;44237
10/19/20;Espinar;1863
10/19/20;La Convencion;6136
10/19/20;Paruro;430
10/19/20;Paucartambo;399
10/19/20;Quispicanchi;2363
10/19/20;Urubamba;1725
10/2/20;Acomayo;319
10/2/20;Anta;1728
10/2/20;Calca;1021
10/2/20;Canas;272
10/2/20;Canchis;2516
10/2/20;Chumbivilcas;684
10/2/20;Cusco;41337
10/2/20;Espinar;1332
10/2/20;La Convencion;5698
10/2/20;Paruro;293
10/2/20;Paucartambo;375
10/2/20;Quispicanchi;2244
10/2/20;Urubamba;1463
10/20/20;Acomayo;386
10/20/20;Anta;1821
10/20/20;Calca;1150
10/20/20;Canas;307
10/20/20;Canchis;3210
10/20/20;Chumbivilcas;811
10/20/20;Cusco;44368
10/20/20;Espinar;1885
10/20/20;La Convencion;6163
10/20/20;Paruro;430
10/20/20;Paucartambo;400
10/20/20;Quispicanchi;2425
10/20/20;Urubamba;1740
10/21/20;Acomayo;386
10/21/20;Anta;1827
10/21/20;Calca;1163
10/21/20;Canas;310
10/21/20;Canchis;3224
10/21/20;Chumbivilcas;814
10/21/20;Cusco;44457
10/21/20;Espinar;1907
10/21/20;La Convencion;6182
10/21/20;Paruro;430
10/21/20;Paucartambo;401
10/21/20;Quispicanchi;2430
10/21/20;Urubamba;1743
10/22/20;Acomayo;387
10/22/20;Anta;1833
10/22/20;Calca;1173
10/22/20;Canas;311
10/22/20;Canchis;3230
10/22/20;Chumbivilcas;814
10/22/20;Cusco;44611
10/22/20;Espinar;1921
10/22/20;La Convencion;6194
10/22/20;Paruro;431
10/22/20;Paucartambo;433
10/22/20;Quispicanchi;2442
10/22/20;Urubamba;1744
10/23/20;Acomayo;389
10/23/20;Anta;1834
10/23/20;Calca;1175
10/23/20;Canas;311
10/23/20;Canchis;3241
10/23/20;Chumbivilcas;815
10/23/20;Cusco;44723
10/23/20;Espinar;1940
10/23/20;La Convencion;6211
10/23/20;Paruro;432
10/23/20;Paucartambo;464
10/23/20;Quispicanchi;2445
10/23/20;Urubamba;1754
10/24/20;Acomayo;389
10/24/20;Anta;1837
10/24/20;Calca;1178
10/24/20;Canas;311
10/24/20;Canchis;3249
10/24/20;Chumbivilcas;817
10/24/20;Cusco;44838
10/24/20;Espinar;1944
10/24/20;La Convencion;6233
10/24/20;Paruro;432
10/24/20;Paucartambo;468
10/24/20;Quispicanchi;2450
10/24/20;Urubamba;1759
10/25/20;Acomayo;389
10/25/20;Anta;1837
10/25/20;Calca;1178
10/25/20;Canas;314
10/25/20;Canchis;3254
10/25/20;Chumbivilcas;817
10/25/20;Cusco;44849
10/25/20;Espinar;1947
10/25/20;La Convencion;6234
10/25/20;Paruro;432
10/25/20;Paucartambo;468
10/25/20;Quispicanchi;2451
10/25/20;Urubamba;1760
10/26/20;Acomayo;389
10/26/20;Anta;1840
10/26/20;Calca;1186
10/26/20;Canas;316
10/26/20;Canchis;3263
10/26/20;Chumbivilcas;818
10/26/20;Cusco;44998
10/26/20;Espinar;1967
10/26/20;La Convencion;6253
10/26/20;Paruro;433
10/26/20;Paucartambo;471
10/26/20;Quispicanchi;2460
10/26/20;Urubamba;1766
10/27/20;Acomayo;390
10/27/20;Anta;1849
10/27/20;Calca;1234
10/27/20;Canas;317
10/27/20;Canchis;3271
10/27/20;Chumbivilcas;821
10/27/20;Cusco;45084
10/27/20;Espinar;1973
10/27/20;La Convencion;6268
10/27/20;Paruro;434
10/27/20;Paucartambo;472
