Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20
,Acomayo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,5,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,16,16,16,18,18,19,19,19,19,19,25,25,25,25,25,25,25,25,25,25,25,25,25,27,27,28,28,28,32,32,32,33,33,33,33,36,36,37,37,37,38,38,38,38,42,43,44,44,44,44,45,45,46,46,46,47,47,52,52,53,56,57,59,62,65,66,67,69,69,70,71,74,76,78,83,83,85,89,98,101,106,120,120,124,128,129,134,136,138,138,140,155,164,172,175,175,176,178,181,189,193,197,199,201,207,216,230,244,247,260,260,276,276,279,282,286,289,289,290,294,297,311,318,318,319,324,325,325,327,362,365,367,367,370,373,378,380,382,383,385,385,385,386,388,388,388,388,389,
,Anta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,7,7,7,8,8,8,8,9,9,9,11,11,11,11,11,12,13,26,28,29,29,29,31,31,31,32,32,32,32,34,35,51,52,54,54,54,56,57,57,58,60,60,61,79,80,83,86,86,86,87,88,90,91,93,106,107,107,110,115,115,119,120,121,124,125,130,137,139,144,144,145,150,151,156,160,167,168,174,180,189,193,208,219,223,229,235,245,265,277,317,319,328,345,370,386,411,432,433,465,493,514,540,567,587,589,634,653,677,745,837,917,951,982,1003,1029,1053,1079,1090,1090,1103,1124,1135,1177,1189,1197,1198,1353,1369,1391,1407,1415,1434,1440,1455,1469,1480,1493,1506,1511,1514,1523,1561,1596,1634,1646,1652,1654,1656,1669,1695,1706,1728,1736,1736,1739,1744,1751,1761,1770,1781,1783,1791,1794,1801,1805,1809,1812,1812,1815,1820,1826,1830,1831,1834,1834,1836,1845,
,Calca,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,8,8,8,8,8,8,8,10,10,10,10,10,11,12,13,13,20,20,21,22,22,25,28,30,34,34,35,38,39,39,39,39,39,39,42,42,46,47,50,50,50,52,52,54,56,59,59,59,61,61,62,64,65,65,70,72,75,78,81,81,81,84,87,89,92,96,99,99,102,107,109,115,125,127,127,138,144,150,157,166,170,172,184,196,205,213,219,227,230,240,251,260,276,289,311,313,387,399,417,435,447,454,456,490,511,554,600,647,652,652,686,701,719,730,738,743,744,823,827,838,847,865,880,884,905,909,919,924,932,943,946,952,957,968,974,985,989,989,997,1005,1007,1015,1020,1025,1027,1056,1067,1070,1075,1080,1085,1085,1087,1092,1100,1101,1105,1105,1105,1113,1149,1162,1172,1174,1177,1177,1184,1226,1240
,Canas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,8,8,9,9,11,11,11,13,13,13,13,14,14,14,14,14,14,14,14,16,17,17,17,17,17,17,17,17,17,18,19,19,21,21,21,22,22,22,24,24,25,25,25,26,27,28,29,29,29,29,29,29,30,30,30,30,30,30,30,31,31,31,31,32,32,32,36,36,38,38,38,38,43,44,53,58,59,61,61,63,66,69,69,70,75,77,78,80,83,86,87,87,97,104,109,113,114,115,120,122,128,131,136,140,141,147,155,161,162,164,167,167,169,171,179,185,189,192,194,204,206,209,209,211,215,216,226,231,233,235,238,242,242,244,244,252,256,262,274,274,274,274,275,277,280,280,283,285,287,288,292,296,299,301,302,304,307,307,307,307,310,312,312,313
,Canchis,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,6,15,16,16,16,18,18,18,18,18,18,18,18,18,18,19,21,21,22,22,23,23,24,25,25,25,26,26,28,28,29,30,30,31,31,32,33,34,34,34,36,37,38,41,41,43,46,48,48,50,50,53,53,54,55,55,57,61,63,63,65,68,68,69,72,76,79,80,82,83,92,98,101,104,108,115,115,120,126,134,138,142,155,156,169,182,196,199,210,223,225,239,243,254,267,280,285,288,313,334,348,371,383,414,426,468,503,544,619,661,703,721,778,820,866,903,980,1033,1037,1105,1224,1263,1320,1375,1429,1436,1520,1582,1627,1656,1712,1742,1753,1796,1881,1920,1954,1984,2009,2014,2054,2091,2128,2147,2166,2186,2187,2231,2265,2312,2332,2353,2368,2370,2405,2422,2455,2485,2504,2525,2527,2542,2562,2572,2746,2916,3002,3003,3030,3079,3101,3113,3132,3142,3145,3165,3168,3176,3181,3191,3199,3204,3209,3218,3221
,Chumbivilcas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,15,16,16,16,16,16,16,16,16,16,16,16,16,17,17,18,18,18,18,18,18,18,18,18,18,18,19,21,21,21,21,21,21,24,24,25,25,25,25,27,27,28,30,30,30,31,32,34,34,35,35,36,36,37,37,37,38,38,38,38,38,38,39,47,47,47,48,49,49,49,50,50,50,50,51,51,53,55,56,56,58,63,64,67,67,67,67,67,69,71,73,75,76,76,77,81,86,89,103,107,109,116,117,123,126,126,128,129,139,147,168,178,190,201,217,233,239,248,272,297,304,317,328,337,344,365,375,383,387,423,453,470,473,487,491,498,546,553,569,571,573,578,580,592,601,610,615,632,634,634,645,647,654,658,664,669,669,670,672,674,681,686,693,694,699,702,703,705,730,786,788,788,791,794,797,801,803,804,808,812,815,815,816,818,818,818,821,823
,Cusco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,7,7,8,8,11,11,15,15,15,17,32,32,38,42,42,49,53,65,67,68,69,73,75,78,111,111,112,117,118,126,137,149,149,161,166,180,189,191,198,198,211,219,239,267,272,278,279,288,316,367,412,452,459,461,519,552,600,634,638,652,652,661,705,727,753,789,815,817,850,872,903,946,982,1000,1001,1021,1038,1067,1101,1130,1159,1170,1203,1254,1278,1301,1323,1337,1342,1383,1407,1426,1444,1478,1497,1499,1546,1613,1644,1674,1727,1764,1781,1817,1863,1936,1983,2057,2115,2143,2226,2315,2393,2463,2565,2680,2698,2845,3007,3199,3389,3625,3813,3853,4103,4380,4687,4983,5324,5657,5844,6247,6479,6991,7522,8031,8463,8610,9309,9982,10614,11297,12008,12610,12706,13532,14560,15292,16085,16876,17560,17643,18510,19328,20412,21640,22731,23740,23900,26450,27174,27971,28763,29725,30261,30342,31022,31595,32117,32614,33097,33429,33495,34086,35047,35685,36161,36644,36924,37067,37503,37805,38080,38269,38460,38613,38642,38836,39036,39272,39525,39803,39949,39970,40148,40506,40783,41058,41335,41619,41687,41842,41969,42066,42141,42228,42408,42425,42533,42621,42770,42860,42990,43042,43058,43163,43298,43387,43539,43651,43765,43776,43922,44000,44019
,Espinar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,8,8,8,8,9,9,10,15,15,15,16,17,17,20,20,20,23,27,32,32,33,34,34,35,35,37,37,38,38,38,43,43,45,48,50,51,52,53,53,55,59,60,60,60,67,71,72,74,76,76,76,78,79,80,84,87,88,88,89,93,99,101,103,109,109,112,116,118,123,127,129,133,135,143,145,149,150,155,156,167,173,180,182,185,191,192,195,201,207,212,218,230,231,251,262,272,289,297,314,329,349,366,390,394,403,424,426,463,481,500,511,545,556,557,581,599,620,636,652,668,669,701,725,758,772,789,798,799,818,834,843,867,897,902,903,929,1011,1051,1092,1106,1118,1121,1131,1150,1168,1184,1197,1209,1210,1238,1255,1268,1276,1284,1298,1298,1314,1324,1339,1387,1403,1453,1460,1502,1527,1583,1609,1651,1673,1686,1715,1736,1763,1777,1796,1800,1802,1820,1822,
,La Convencion,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6,7,7,8,8,8,10,11,11,11,12,14,14,14,14,14,20,21,21,22,22,24,27,28,30,30,30,32,34,38,41,45,48,54,58,62,66,76,83,85,94,106,113,117,120,146,157,164,170,187,196,231,246,255,263,271,297,306,316,355,358,368,399,420,454,481,501,502,556,573,592,676,717,738,753,798,827,855,877,934,965,977,1058,1150,1203,1287,1355,1391,1400,1461,1544,1594,1634,1692,1820,1837,1892,1938,2011,2077,2180,2226,2240,2312,2385,2454,2514,2596,2645,2672,2769,2864,2944,3033,3128,3213,3228,3285,3358,3454,3523,3628,3712,3748,3821,3904,3979,4065,4152,4211,4226,4312,4374,4441,4492,4572,4617,4627,4685,4721,4770,4823,4872,4927,4937,5012,5050,5100,5154,5192,5221,5232,5278,5305,5337,5370,5423,5463,5472,5517,5582,5633,5677,5697,5723,5738,5774,5799,5830,5850,5878,5916,5924,5948,5981,6004,6020,6047,6077,6089,6109,6133,6152,6163,6179,6201,6202,6215,6225,6227
,Paruro,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,6,6,6,6,9,9,9,9,10,10,11,11,11,11,12,13,13,13,14,14,15,15,15,15,15,15,15,15,15,15,16,16,19,19,19,19,19,19,20,20,20,21,21,21,22,22,23,25,27,28,28,28,29,30,30,31,33,34,35,37,43,49,51,53,54,55,60,62,67,71,73,76,79,83,91,100,104,108,110,112,116,118,126,130,135,139,140,148,151,158,160,169,173,173,177,180,203,210,214,216,216,216,222,227,240,242,243,246,249,254,254,255,260,262,262,263,267,272,276,279,279,279,280,283,286,290,292,293,293,294,296,296,317,378,408,409,419,421,425,426,428,429,429,429,429,429,430,432,432,432,433,434,
