Country,q0,q1,q2,q3,test1,test2,test3
Acomayo,0,2.465,7.395,9.86,10,10,10
Anta,0,12.9275,38.7825,51.71,10,10,10
Calca,0,7.0725,21.2175,28.29,10,10,10
Canas,0,1.25,3.75,5,10,10,10
Canchis,0,18.8925,56.6775,75.57,10,10,10
Chumbivilcas,0,4.5,13.5,18,10,10,10
Cusco ,0,280.215,840.645,1120.86,10,10,10
Espinar ,0,8.8575,26.5725,35.43,10,10,10
La Convencion,0,19.8575,59.5725,79.43,10,10,10
Paruro,0,4.6075,13.8225,18.43,10,10,10
Paucartambo,0,2.1425,6.4275,8.57,10,10,10
Quispicanchi ,0,20.8225,62.4675,83.29,10,10,10
Urubamba,0,11.1775,33.5325,44.71,10,10,10
