fecha_resultado;positivos;defunciones
3/13/20;1;0
3/14/20;0;0
3/15/20;0;0
3/16/20;0;0
3/17/20;0;0
3/18/20;3;0
3/19/20;0;0
3/20/20;1;0
3/21/20;0;0
3/22/20;3;0
3/23/20;0;0
3/24/20;4;1
3/25/20;1;0
3/26/20;0;0
3/27/20;2;1
3/28/20;16;0
3/29/20;0;0
3/30/20;6;0
3/31/20;4;0
4/1/20;1;0
4/2/20;7;1
4/3/20;4;0
4/4/20;12;0
4/5/20;2;0
4/6/20;1;0
4/7/20;1;0
4/8/20;5;0
4/9/20;2;0
4/10/20;3;0
4/11/20;39;0
4/12/20;0;0
4/13/20;1;0
4/14/20;5;0
4/15/20;1;0
4/16/20;8;0
4/17/20;11;0
4/18/20;14;0
4/19/20;0;0
4/20/20;18;0
4/21/20;6;0
4/22/20;23;1
4/23/20;23;0
4/24/20;9;0
4/25/20;13;0
4/26/20;0;0
4/27/20;14;0
4/28/20;21;0
4/29/20;23;0
4/30/20;39;0
5/1/20;5;0
5/2/20;16;0
5/3/20;3;0
5/4/20;11;0
5/5/20;29;0
5/6/20;55;0
5/7/20;47;1
5/8/20;47;0
5/9/20;14;0
5/10/20;2;1
5/11/20;63;0
5/12/20;44;0
5/13/20;75;1
5/14/20;39;0
5/15/20;10;2
5/16/20;16;0
5/17/20;1;0
5/18/20;19;0
5/19/20;53;1
5/20/20;37;0
5/21/20;49;0
5/22/20;47;0
5/23/20;34;0
5/24/20;5;1
5/25/20;45;0
5/26/20;32;0
5/27/20;46;0
5/28/20;53;0
5/29/20;66;0
5/30/20;29;0
5/31/20;4;0
6/1/20;44;0
6/2/20;43;0
6/3/20;46;2
6/4/20;67;2
6/5/20;44;1
6/6/20;78;0
6/7/20;27;1
6/8/20;47;0
6/9/20;109;1
6/10/20;50;0
6/11/20;42;1
6/12/20;75;1
6/13/20;36;2
6/14/20;16;0
6/15/20;67;2
6/16/20;63;1
6/17/20;60;4
6/18/20;44;0
6/19/20;59;2
6/20/20;65;0
6/21/20;6;0
6/22/20;68;0
6/23/20;114;0
6/24/20;64;0
6/25/20;83;3
6/26/20;103;1
6/27/20;86;0
6/28/20;29;3
6/29/20;96;0
6/30/20;94;1
7/1/20;124;3
7/2/20;151;3
7/3/20;135;2
7/4/20;98;1
7/5/20;45;2
7/6/20;160;0
7/7/20;148;1
7/8/20;128;2
7/9/20;131;3
7/10/20;188;6
7/11/20;180;5
7/12/20;37;5
7/13/20;256;1
7/14/20;302;3
7/15/20;277;4
7/16/20;324;6
7/17/20;345;5
7/18/20;268;6
7/19/20;55;4
7/20/20;364;7
7/21/20;419;4
7/22/20;421;18
7/23/20;372;9
7/24/20;465;6
7/25/20;523;12
7/26/20;226;9
7/27/20;533;17
7/28/20;336;23
7/29/20;686;12
7/30/20;691;23
7/31/20;722;33
8/1/20;594;28
8/2/20;188;22
8/3/20;906;19
8/4/20;860;22
8/5/20;839;15
8/6/20;879;27
8/7/20;919;27
8/8/20;772;30
8/9/20;173;18
8/10/20;1136;16
8/11/20;1319;23
8/12/20;1033;20
8/13/20;1088;29
8/14/20;1087;29
8/15/20;961;30
8/16/20;157;31
8/17/20;1238;27
8/18/20;1094;25
8/19/20;1446;27
8/20/20;1686;29
8/21/20;1621;26
8/22/20;1467;19
8/23/20;316;15
8/24/20;2987;15
8/25/20;1114;16
8/26/20;1101;15
8/27/20;1165;21
8/28/20;1392;21
8/29/20;792;18
8/30/20;124;18
8/31/20;1060;23
9/1/20;899;7
9/2/20;837;13
9/3/20;733;5
9/4/20;750;5
9/5/20;485;10
9/6/20;115;6
9/7/20;1237;2
9/8/20;1274;9
9/9/20;884;7
9/10/20;705;10
9/11/20;737;9
9/12/20;490;9
9/13/20;208;4
9/14/20;710;9
9/15/20;566;7
9/16/20;517;3
9/17/20;374;7
9/18/20;344;5
9/19/20;283;2
9/20/20;62;5
9/21/20;445;4
9/22/20;368;4
9/23/20;435;4
9/24/20;415;8
9/25/20;447;6
9/26/20;294;7
9/27/20;41;3
9/28/20;327;6
9/29/20;533;4
9/30/20;459;3
10/1/20;457;6
10/2/20;414;4
10/3/20;405;2
10/4/20;98;1
10/5/20;297;3
10/6/20;232;3
10/7/20;193;1
10/8/20;400;4
10/9/20;495;0
10/10/20;537;1
10/11/20;61;1
10/12/20;911;1
10/13/20;577;3
10/14/20;390;2
10/15/20;344;0
10/16/20;329;3
10/17/20;150;3
10/18/20;59;5
10/19/20;235;7
10/20/20;328;1
10/21/20;194;2
10/22/20;270;2
10/23/20;224;2
10/24/20;188;3
10/25/20;30;2
10/26/20;258;1
10/27/20;207;2
10/28/20;195;5
10/29/20;190;3
10/30/20;181;2
10/31/20;144;0
11/1/20;51;2
11/2/20;163;1
11/3/20;289;1
11/4/20;254;3
11/5/20;221;1
11/6/20;247;2
11/7/20;238;1
11/8/20;285;1
11/9/20;152;1
11/10/20;197;1
11/11/20;167;2
11/12/20;167;4
11/13/20;179;0
11/14/20;134;1
11/15/20;41;1
11/16/20;177;1
11/17/20;170;4
11/18/20;155;1
11/19/20;128;1
11/20/20;154;0
11/21/20;123;1
11/22/20;97;0
11/23/20;152;2
11/24/20;198;1
11/25/20;190;2
11/26/20;145;2
11/27/20;273;0
11/28/20;268;0
11/29/20;27;2
11/30/20;158;0
12/1/20;135;0
12/2/20;131;4
12/3/20;93;1
12/4/20;150;3
12/5/20;107;2
12/6/20;36;0
12/7/20;105;1
12/8/20;67;1
12/9/20;127;3
12/10/20;89;2
12/11/20;200;1
12/12/20;153;1
12/13/20;14;0
