DateRep;Country;Deaths_cumsum
10/1/20;Acomayo;4
10/1/20;Anta;19
10/1/20;Calca;9
10/1/20;Canas;2
10/1/20;Canchis;40
10/1/20;Chumbivilcas;3
10/1/20;Cusco;990
10/1/20;Espinar;13
10/1/20;La Convencion;42
10/1/20;Paruro;7
10/1/20;Paucartambo;1
10/1/20;Quispicanchi;20
10/1/20;Urubamba;13
10/10/20;Acomayo;4
10/10/20;Anta;19
10/10/20;Calca;9
10/10/20;Canas;2
10/10/20;Canchis;41
10/10/20;Chumbivilcas;3
10/10/20;Cusco;1005
10/10/20;Espinar;13
10/10/20;La Convencion;44
10/10/20;Paruro;7
10/10/20;Paucartambo;1
10/10/20;Quispicanchi;21
10/10/20;Urubamba;13
10/11/20;Acomayo;4
10/11/20;Anta;19
10/11/20;Calca;9
10/11/20;Canas;2
10/11/20;Canchis;41
10/11/20;Chumbivilcas;3
10/11/20;Cusco;1006
10/11/20;Espinar;13
10/11/20;La Convencion;44
10/11/20;Paruro;7
10/11/20;Paucartambo;1
10/11/20;Quispicanchi;21
10/11/20;Urubamba;13
10/12/20;Acomayo;4
10/12/20;Anta;19
10/12/20;Calca;9
10/12/20;Canas;2
10/12/20;Canchis;41
10/12/20;Chumbivilcas;3
10/12/20;Cusco;1007
10/12/20;Espinar;13
10/12/20;La Convencion;44
10/12/20;Paruro;7
10/12/20;Paucartambo;1
10/12/20;Quispicanchi;21
10/12/20;Urubamba;13
10/13/20;Acomayo;4
10/13/20;Anta;19
10/13/20;Calca;9
10/13/20;Canas;2
10/13/20;Canchis;41
10/13/20;Chumbivilcas;3
10/13/20;Cusco;1010
10/13/20;Espinar;13
10/13/20;La Convencion;44
10/13/20;Paruro;7
10/13/20;Paucartambo;1
10/13/20;Quispicanchi;21
10/13/20;Urubamba;13
10/14/20;Acomayo;4
10/14/20;Anta;19
10/14/20;Calca;9
10/14/20;Canas;2
10/14/20;Canchis;41
10/14/20;Chumbivilcas;3
10/14/20;Cusco;1012
10/14/20;Espinar;13
10/14/20;La Convencion;44
10/14/20;Paruro;7
10/14/20;Paucartambo;1
10/14/20;Quispicanchi;21
10/14/20;Urubamba;13
10/15/20;Acomayo;4
10/15/20;Anta;19
10/15/20;Calca;9
10/15/20;Canas;2
10/15/20;Canchis;41
10/15/20;Chumbivilcas;3
10/15/20;Cusco;1012
10/15/20;Espinar;13
10/15/20;La Convencion;44
10/15/20;Paruro;7
10/15/20;Paucartambo;1
10/15/20;Quispicanchi;21
10/15/20;Urubamba;13
10/16/20;Acomayo;4
10/16/20;Anta;19
10/16/20;Calca;9
10/16/20;Canas;3
10/16/20;Canchis;41
10/16/20;Chumbivilcas;3
10/16/20;Cusco;1013
10/16/20;Espinar;13
10/16/20;La Convencion;44
10/16/20;Paruro;7
10/16/20;Paucartambo;1
10/16/20;Quispicanchi;21
10/16/20;Urubamba;14
10/17/20;Acomayo;4
10/17/20;Anta;20
10/17/20;Calca;9
10/17/20;Canas;3
10/17/20;Canchis;41
10/17/20;Chumbivilcas;3
10/17/20;Cusco;1014
10/17/20;Espinar;13
10/17/20;La Convencion;45
10/17/20;Paruro;7
