Fecha;Distrito;CasosCumulativo;UBIGEO;Departamento;Provincia;Dis;DensidadPoblacional;_merge
5/6/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/31/20;1;35;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/28/20;1;86;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/6/20;1;97;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/7/20;1;97;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/4/20;1;96;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/8/20;1;106;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/29/20;1;3;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/4/20;1;13;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/9/20;1;97;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/15/20;1;70;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/6/20;1;2;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/11/20;1;98;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/3/20;1;56;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/31/20;1;2;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/5/20;1;58;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/27/20;1;3;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/27/20;1;34;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/27/20;1;10;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/21/20;1;9;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/12/20;1;3;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/21/20;1;1;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/28/20;1;34;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/18/20;1;1;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/12/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/10/20;1;106;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/1/20;1;2;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/6/20;1;6;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/1/20;1;5;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/11/20;1;14;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/6/20;1;58;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/11/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/13/20;1;63;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/5/20;1;6;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/14/20;1;3;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/19/20;1;9;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/26/20;1;10;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/13/20;1;15;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/15/20;1;109;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/22/20;1;102;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/20/20;1;22;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/20/20;1;3;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/16/20;1;112;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/26/20;1;3;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/14/20;1;107;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/13/20;1;3;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/1/20;1;94;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/2/20;1;103;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/22/20;1;82;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/9/20;1;6;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/26/20;1;29;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/23/20;1;113;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/24/20;1;113;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/14/20;1;66;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/17/20;1;1;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/16/20;1;101;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/30/20;1;102;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/9/20;1;2;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/23/20;1;3;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/15/20;1;17;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/21/20;1;101;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/7/20;1;58;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/11/20;1;2;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/29/20;1;2;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/1/20;1;102;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/23/20;1;83;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/30/20;1;88;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/17/20;1;101;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/5/20;1;97;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/20/20;1;101;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/3/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/17/20;1;8;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
4/26/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/23/20;1;9;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/19/20;1;113;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/8/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/12/20;1;14;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/29/20;1;86;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
4/24/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
4/22/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/5/20;1;106;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/29/20;1;34;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/13/20;1;98;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/14/20;1;99;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/17/20;1;112;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/24/20;1;102;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/27/20;1;102;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/4/20;1;58;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/13/20;1;6;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
4/23/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/16/20;1;1;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/30/20;1;2;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
8/7/20;1;14;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/12/20;1;98;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
10/10/20;1;98;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
6/2/20;1;2;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
5/1/20;1;0;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
11/13/20;1;107;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
9/10/20;1;61;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
7/24/20;1;10;080201;CUSCO;ACOMAYO;ACOMAYO;39.30062999929213;matched (3)
